Date,Clicks,Impressions,CTR,Position
2026-02-18,5,545,0.92%,10.9
2026-02-19,4,534,0.75%,9.4
2026-02-20,3,431,0.7%,11.2
2026-02-21,3,555,0.54%,11.3
2026-02-22,5,616,0.81%,10.6
2026-02-23,9,600,1.5%,10.6
2026-02-24,7,578,1.21%,10.6
2026-02-25,14,562,2.49%,10.6
2026-02-26,10,534,1.87%,11
2026-02-27,6,386,1.55%,10.6
2026-02-28,5,173,2.89%,17.1
2026-03-01,4,99,4.04%,10.6
2026-03-02,9,113,7.96%,10.1
2026-03-03,1,84,1.19%,13.5
2026-03-04,2,121,1.65%,13.7
2026-03-05,3,170,1.76%,13.1
2026-03-06,4,140,2.86%,12.7
2026-03-07,1,129,0.78%,16.4
2026-03-08,4,126,3.17%,14.4
2026-03-09,3,107,2.8%,12.1
2026-03-10,5,94,5.32%,12.7
2026-03-11,1,86,1.16%,6.8
2026-03-12,3,72,4.17%,7.4
2026-03-13,4,162,2.47%,11.5
2026-03-14,3,190,1.58%,11.8
2026-03-15,4,231,1.73%,10.4
2026-03-16,7,555,1.26%,9.1
2026-03-17,7,665,1.05%,8.9
2026-03-18,7,576,1.22%,9.1
2026-03-19,9,525,1.71%,10
2026-03-20,9,480,1.88%,9.2
2026-03-21,5,509,0.98%,10.1
2026-03-22,6,612,0.98%,9.8
2026-03-23,3,450,0.67%,9.6
2026-03-24,7,458,1.53%,9.2
2026-03-25,1,496,0.2%,10.3
2026-03-26,5,480,1.04%,9.4
2026-03-27,3,424,0.71%,9
2026-03-28,3,487,0.62%,9.5
2026-03-29,5,570,0.88%,7.7
2026-03-30,9,539,1.67%,8.8
2026-03-31,1,400,0.25%,8.7
2026-04-01,3,403,0.74%,11.3
2026-04-02,4,382,1.05%,11
2026-04-03,2,368,0.54%,9.9
2026-04-04,6,418,1.44%,9.9
2026-04-05,7,628,1.11%,7.8
2026-04-06,10,695,1.44%,9.5
2026-04-07,6,544,1.1%,9.3
2026-04-08,3,509,0.59%,9.3
2026-04-09,8,417,1.92%,10
2026-04-10,2,408,0.49%,10.2
2026-04-11,5,384,1.3%,11.2
2026-04-12,2,426,0.47%,10.4
2026-04-13,8,448,1.79%,10.8
2026-04-14,2,417,0.48%,10.2
2026-04-15,4,448,0.89%,9.5
2026-04-16,7,434,1.61%,9.4
2026-04-17,6,431,1.39%,10.8
2026-04-18,4,457,0.88%,9.9
2026-04-19,5,513,0.97%,11.3
2026-04-20,4,518,0.77%,9.5
2026-04-21,6,445,1.35%,11.5
2026-04-22,2,404,0.5%,12.3
2026-04-23,4,400,1%,11.2
2026-04-24,2,413,0.48%,11.9
2026-04-25,1,449,0.22%,11.2
2026-04-26,6,545,1.1%,10.5
2026-04-27,5,462,1.08%,10.4
2026-04-28,3,479,0.63%,11.4
2026-04-29,3,491,0.61%,11
2026-04-30,4,443,0.9%,10.1
2026-05-01,2,176,1.14%,9.2
2026-05-02,2,100,2%,14.8
2026-05-03,3,115,2.61%,12.4
2026-05-04,6,120,5%,12.1
2026-05-05,2,109,1.83%,14.5
2026-05-06,2,132,1.52%,13.2
2026-05-07,3,88,3.41%,11.6
2026-05-08,1,114,0.88%,13.9
2026-05-09,7,105,6.67%,18.8
2026-05-10,3,116,2.59%,13.4
2026-05-11,5,109,4.59%,12.2
2026-05-12,3,149,2.01%,13.1
2026-05-13,7,352,1.99%,11
2026-05-14,2,360,0.56%,11.3
2026-05-15,1,270,0.37%,10.3
2026-05-16,4,349,1.15%,10.2
2026-05-17,2,333,0.6%,10.5
