Country,Clicks,Impressions,CTR,Position
Poland,357,29568,1.21%,10.67
Germany,18,1011,1.78%,7.23
United Kingdom,8,344,2.33%,8.37
Netherlands,2,108,1.85%,6.71
Ireland,2,66,3.03%,7.14
Portugal,2,11,18.18%,8.55
United States,1,355,0.28%,7.61
Vietnam,1,113,0.88%,7.86
Belgium,1,52,1.92%,6.44
Switzerland,1,32,3.12%,8.47
Australia,1,11,9.09%,7.82
United Arab Emirates,1,7,14.29%,4.43
South Africa,1,6,16.67%,4.83
Malta,1,5,20%,8
Singapore,1,2,50%,12.5
Italy,0,99,0%,6.85
France,0,83,0%,9.16
Sweden,0,59,0%,9.08
Spain,0,54,0%,8.41
Russia,0,53,0%,8.3
Canada,0,51,0%,7.69
Norway,0,51,0%,8
Brazil,0,44,0%,7.18
Austria,0,43,0%,5.88
Denmark,0,32,0%,6.22
Czechia,0,19,0%,5.74
India,0,16,0%,8.19
Argentina,0,15,0%,6.47
Mexico,0,14,0%,5.64
Turkey,0,12,0%,9.08
Iceland,0,11,0%,7
Slovakia,0,10,0%,11
Egypt,0,9,0%,7.44
Colombia,0,9,0%,8.22
Chile,0,8,0%,8.75
Saudi Arabia,0,8,0%,9
Indonesia,0,8,0%,10
Greece,0,8,0%,11
Ukraine,0,7,0%,4
Bulgaria,0,7,0%,10.71
Thailand,0,6,0%,7.5
Philippines,0,6,0%,11.17
Japan,0,5,0%,7.6
Lithuania,0,5,0%,8.4
Iraq,0,5,0%,9
Hungary,0,5,0%,10.8
Ecuador,0,5,0%,22.8
Romania,0,5,0%,38.4
Peru,0,4,0%,5.25
Luxembourg,0,4,0%,7
Bangladesh,0,4,0%,7.25
Pakistan,0,4,0%,10.5
Uzbekistan,0,3,0%,9.33
Cyprus,0,3,0%,10
China,0,3,0%,11
Kuwait,0,3,0%,11.67
South Korea,0,3,0%,13.33
Palestine,0,2,0%,1
Kazakhstan,0,2,0%,1.5
Qatar,0,2,0%,3.5
Tunisia,0,2,0%,3.5
Venezuela,0,2,0%,5.5
Morocco,0,2,0%,7
New Zealand,0,2,0%,10
Uruguay,0,2,0%,11
Malaysia,0,2,0%,12
Azerbaijan,0,2,0%,24
Armenia,0,1,0%,1
Dominican Republic,0,1,0%,1
Cambodia,0,1,0%,1
Latvia,0,1,0%,1
Myanmar (Burma),0,1,0%,1
Nepal,0,1,0%,1
Belarus,0,1,0%,2
Macedonia,0,1,0%,3
Slovenia,0,1,0%,3
Nigeria,0,1,0%,5
Iran,0,1,0%,6
Jordan,0,1,0%,6
Côte d’Ivoire,0,1,0%,7
Croatia,0,1,0%,7
Zambia,0,1,0%,7
Angola,0,1,0%,8
Cuba,0,1,0%,8
Finland,0,1,0%,8
French Guiana,0,1,0%,8
Bolivia,0,1,0%,10
Taiwan,0,1,0%,10
Jersey,0,1,0%,13
Israel,0,1,0%,17
Bahrain,0,1,0%,20
Hong Kong,0,1,0%,20
Estonia,0,1,0%,25
